,,,,,,,
Name,Current Status,Error Details,ID,URL,Additional Notes,Millsberry Fandom Wiki Link,Video of Gameplay
Archery Challenge,,,320,,,Archery Challenge,
Black Belt Karate,,,400,,,Black Belt Karate,
Brick House Hop,,,,,,Brick House Hop,
Bumper Boats,,,440,,,Bumper Boats,
Cinnamon Toast Crunch® Swirl,Playable Copy Available,,18,http://images.neopets.com/games/g422_v1_87147.swf,This game was available both on neopets and Millsberry. The game still exists on neopets and the swf file is playable,Cinnamon Toast Crunch® Swirl,
Cocoa Puffs Crossword,Playable Copy Available,,?,http://images.neopets.com/games/g392_v10_61253.swf,This game was available both on neopets and Millsberry. The game still exists on neopets and the swf file is playable,n/a,
Countdown!,,,180,,,Countdown!,
Fruit Gushers® Flavor Shock presents GushBerry,,,525,,reskin of the lucky charms game. Could be re-created from those assets,Fruit Gushers® Flavor Shock presents GushBerry,https://www.youtube.com/watch?v=IS5LKPcl7GU
Fruit Roll-Ups® Scoops™ Memory Game,,,520,,,Fruit Roll-Ups® Scoops™ Memory Game,
Galactic Defender Adventure,,,180,,,Galactic Defender Adventure,
Honey Nut Cheerios®: Buzzing For Water,,,515,,,Honey Nut Cheerios®: Buzzing For Water,https://www.youtube.com/watch?v=t3UOcd4-N9w
Honey Nut Cheerios®: Save the Honey,Playable Copy Available,,511 (13 - possible accident typing. confirm),https://web.archive.org/web/20251209044414/https://www.nick.com/games/data/club/hnc-save-the-honey/levelone.htm,This game was available through nick.com and millsberry. Archived copy from nick.com swf file is playable,Honey Nut Cheerios®: Save the Honey,
Hop-N-Drop,,,13,,,Hop-N-Drop,
Horton Hears A Who: Water Water Everywhere,Playable Copy Available,,505,http://www.dan-dare.org/FreeFun/Games/CartoonsMoviesTV/Horton/Horton.htm,,Horton Hears A Who: Water Water Everywhere,
Kai's Ultimate Surfari,,,486,,,Kai's Ultimate Surfari,
Lucky Charms® Charmed Life,Playable Current Copy Available,,300,http://images.neopets.com/games/g737_v12_44097.swf,This game was available both on neopets and Millsberry. The game still exists on neopets and the swf file is playable,Lucky Charms® Charmed Life,
Millsberry 500,,,510,,,Millsberry 500,
Millsberry Gazette: Editor in Chief,Playable Copy Not Yet Located,,420,https://web.archive.org/web/20061215010551/http://millsberry.com:80/gamepages/flashgame_ctp.phtml?game_id=420,,Millsberry Gazette: Editor in Chief,
Millsberry Hide & Seek,,,240,,,Millsberry Hide & Seek,
Millsberry's Match Wanted,,,16,,,Millsberry's Match Wanted,
Peabody Park Cleanup,,,19,,,Peabody Park Cleanup,
Peabody Park Fishing,,,?,,,Peabody Park Fishing,
Peabody Park Half-Pipe Competition,,,60,,,Peabody Park Half-Pipe Competition,
Peanut Butter Toast Crunch Swirl,Playable Copy Not Yet Located,Failing due to flash_loader_v10_18.swf missing,18,https://web.archive.org/web/20060423021553/http://www.millsberry.com:80/gamingsystem/launch_game.phtml?hiscore=0&sp=0&va=&world=&height=500&width=500&r=8025467&game_id=18&questionSet=&quality=,This has the same ID as Cinnamon Toast Crunch® Swirl. Maybe it simply renamed at some point.,n/a,
Reese's® Puffs® Cereal Snowboard Slalom,,,260,https://web.archive.org/web/20100528160737/http://www.millsberry.com/gamepages/flashgame_ctp.phtml?game_id=525,,Reese's® Puffs® Cereal Snowboard Slalom,
Rope Race,,,100,,,Rope Race,
Sherman Home Run Derby,,,160,,,Sherman Home Run Derby,
Sink The Three!,,,140,,,Sink The Three!,
Slap Shot Shootout,,,360,,,Slap Shot Shootout,
Solver,,,12,,,Solver,
Sudoku,,,380,,,Sudoku,
"The Squeakquel: ""Munk to the Beat"" Game",Loads in Ruffle but not playable,,?,https://www.flashgirlgames.com/games/munktothebeat,Listed here https://web.archive.org/web/20100413094901/http://www.millsberry.com:80/complex/arcade.phtml - currently available swf file at http://files.flashgirlgames.com/game/765/f0e/765f0e0a72cb7e30/data/MunkBeat.swf,n/a,
Tricky Touchdown,,,484,,,Tricky Touchdown,
Wave Blaster,,,340,,,Wave Blaster,